FeatureClass,FeatureCode,ShortDescription,LongDescription
S,PYRS,Pyramids,Ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs
S,QUAY,Quay,A structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities
S,RDCR,Traffic Circle,A road junction formed around a central circle about which traffic moves in one direction only
S,RECG,Golf Course,A recreation field where golf is played
S,RECR,Racetrack,A track where races are held
S,REST,Restaurant,A place where meals are served to the public
S,RET,Store,A building where goods and/or services are offered for sale
S,RHSE,Resthouse,A structure maintained for the rest and shelter of travellers
S,RKRY,Rookery,A breeding place of a colony of birds or seals
S,RLG,Religious Site,An ancient site of significant religious importance
S,RLGR,Retreat,"A place of temporary seclusion, especially for religious groups"
S,RNCH,Ranch(es),A large farm specializing in extensive grazing of livestock
S,RSD,Railroad Siding,A short track parallel to and joining the main track
S,RSGNL,Railroad Signal,A signal at the entrance of a particular section of track governing the movement of trains
S,RSRT,Resort,"A specialized facility for vacation, health or participation sports activities"
S,RSTN,Railroad Station,"A facility comprising ticket office, platforms, etc. For loading and unloading train passengers and freight"
S,RSTNQ,Abandoned Railroad Station,
S,RSTP,Railroad Stop,A place lacking station facilities where trains stop to pick up and unload passengers and freight
S,RSTPQ,Abandoned Railroad Stop,
S,RUIN,Ruin(s),A destroyed or decayed structure which is no longer functional
S,SCH,School,Building(s) where instruction in one or more branches of knowledge takes place
S,SCHA,Agricultural School,A school with a curriculum focused on agriculture
S,SCHC,College,The grounds and buildings of an institution of higher learning
S,SCHL,Language School,Language schools & institutions
S,SCHM,Military School,A school at which military science forms the core of the curriculum
S,SCHN,Maritime School,A school at which maritime sciences form the core of the curriculum
S,SCHT,Technical School,Post-secondary school with a specifically technical or vocational curriculum
S,SECP,State Exam Prep Centre,State exam preparation centres
S,SHPF,Sheepfold,A fence or wall enclosure for sheep and other small herd animals
S,SHRN,Shrine,A structure or place memorializing a person or religious concept
S,SHSE,Storehouse,"A building for storing goods, especially provisions"
S,SLCE,Sluice,"A conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate"
S,SNTR,Sanatorium,A facility where victims of physical or mental disorders are treated
S,SPA,Spa,A resort area usually developed around a medicinal spring
S,SPLY,Spillway,"A passage or outlet through which surplus water flows over, around or through a dam"
S,SQR,Square,"A broad, open, public area near the centre of a town or city"
S,STBL,Stable,"A building for the shelter and feeding of farm animals, especially horses"
S,STDM,Stadium,A structure with an enclosure for athletic games with tiers of seats for spectators
S,STNB,Scientific Research Base,A scientific facility used as a base from which research is carried out or monitored
S,STNC,Coast Guard Station,A facility from which the coast is guarded by armed vessels
S,STNE,Experiment Station,A facility for carrying out experiments
S,STNF,Forest Station,A collection of buildings and facilities for carrying out forest management
S,STNI,Inspection Station,"A station at which vehicles, goods and people are inspected"
S,STNM,Meteorological Station,A station at which weather elements are recorded
S,STNR,Radio Station,A facility for producing and transmitting information by radio waves
S,STNS,Satellite Station,A facility for tracking and communicating with orbiting satellites
S,STNW,Whaling Station,A facility for butchering and processing whales
S,STPS,Steps,Stones or slabs placed for ease in ascending or descending a steep slope
S,SWT,Sewage Treatment Plant,Facility for the processing of sewage and/or wastewater
S,THTR,Theatre,"A building, room or outdoor structure for the presentation of plays, films or other dramatic performances"
S,TMB,Tomb(s),A structure for interring bodies
S,TMPL,Temple(s),An edifice dedicated to religious worship
S,TNKD,Cattle Dipping Tank,A small artificial pond used for immersing cattle in chemically treated water for disease control
S,TOWR,Tower,"A high conspicuous structure, typically much higher than its diameter"
S,TRANT,Transit Terminal,Facilities for the handling of vehicular freight and passengers
S,TRIG,Triangulation Station,A point on the earth whose position has been determined by triangulation
S,TRMO,Oil Pipeline Terminal,A tank farm or loading facility at the end of an oil pipeline
S,TWO,Temp Work Office,Temporary work offices
S,UNIP,University Prep School,University preparation schools & institutions
S,UNIV,University,An institution for higher learning with teaching and research facilities constituting a graduate school and professional schools that award master's degrees and doctorates and an undergraduate division that awards bachelor's degrees.
S,USGE,United States Government Establishment,A facility operated by the United States Government in Panama
S,VETF,Veterinary Facility,A building or camp at which veterinary services are available
S,WALL,Wall,"A thick masonry structure, usually enclosing a field or building, or forming the side of a structure"
S,WALLA,Ancient Wall,The remains of a linear defensive stone structure
S,WEIR,Weir(s),"A small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel"
S,WHRF,Wharf(-ves),A structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities
S,WRCK,Wreck,The site of the remains of a wrecked vessel
S,WTRW,Waterworks,A facility for supplying potable water through a water source and a system of pumps and filtration beds
S,ZNF,Free Trade Zone,"An area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations"
S,ZOO,Zoo,A zoological garden or park where wild animals are kept for exhibition
T,ASPH,Asphalt Lake,A small basin containing naturally occurring asphalt
T,ATOL,Atoll(s),A ring-shaped coral reef which has closely spaced islands on it encircling a lagoon
T,BAR,Bar,"A shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary or lagoon and in the wave-break zone along coasts"
T,BCH,Beach,A shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
T,BCHS,Beaches,A shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
T,BDLD,Badlands,"An area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines and sharp crests and pinnacles"
T,BLDR,Boulder Field,"A high altitude or high latitude bare, flat area covered with large angular rocks"
T,BLHL,Blowhole(s),A hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air
T,BLOW,Blowout(s),"A small depression in sandy terrain, caused by wind erosion"
T,BNCH,Bench,"A long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody"
T,BUTE,Butte(s),"A small, isolated, usually flat-topped hill with steep sides"
T,CAPE,Cape,"A land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction"
T,CFT,Cleft(s),"A deep narrow slot, notch or groove in a coastal cliff"
T,CLDA,Caldera,A depression measuring kilometres across formed by the collapse of a volcanic mountain
T,CLF,Cliff(s),"A high, steep to perpendicular slope overlooking a waterbody or lower area"
T,CNYN,Canyon,"A deep, narrow valley with steep sides cutting into a plateau or mountainous area"
T,CONE,Cone(s),A conical landform composed of mud or volcanic material
T,CRDR,Corridor,A strip or area of land having significance as an access way
T,CRQ,Cirque,A bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley
T,CRQS,Cirques,Bowl-like hollows partially surrounded by cliffs or steep slopes at the head of a glaciated valley
T,CRTR,Crater(s),A generally circular saucer or bowl-shaped depression caused by volcanic or meteorite explosive action
T,CUET,Cuesta(s),An asymmetric ridge formed on tilted strata
T,DLTA,Delta,A flat plain formed by alluvial deposits at the mouth of a stream
T,DPR,Depression(s),A low area surrounded by higher land and usually characterized by interior drainage
T,DSRT,Desert,A large area with little or no vegetation due to extreme environmental conditions
T,DUNE,Dune(s),"A wave form, ridge or star shape feature composed of sand"
T,DVD,Divide,A line separating adjacent drainage basins
T,ERG,Sandy Desert,An extensive tract of shifting sand and sand dunes
T,FAN,Fan(s),A fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain
T,FORD,Ford,A shallow part of a stream which can be crossed on foot or by land vehicle
T,FSR,Fissure,A crack associated with volcanism
T,GAP,Gap,"A low place in a ridge, not used for transportation"
T,GRGE,Gorge(s),"A short, narrow, steep-sided section of a stream valley"
T,HDLD,Headland,A high projection of land extending into a large body of water beyond the line of the coast
T,HLL,Hill,A rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m
T,HLLS,Hills,Rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m
T,HMCK,Hammock(s),"A patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups"
T,HMDA,Rock Desert,"A relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer"
T,INTF,Interfluve,A relatively undissected upland between adjacent stream valleys
T,ISL,Island,"A tract of land, smaller than a continent, surrounded by water at high water"
T,ISLET,Islet,"Small island, bigger than rock, smaller than island."
T,ISLF,Artificial Island,"An island created by landfill or diking and filling in a wetland, bay or lagoon"
T,ISLM,Mangrove Island,A mangrove swamp surrounded by a waterbody
T,ISLS,Islands,"Tracts of land, smaller than a continent, surrounded by water at high water"
T,ISLT,Land-Tied Island,"A coastal island connected to the mainland by barrier beaches, levees or dikes"
T,ISLX,Section of Island,
T,ISTH,Isthmus,A narrow strip of land connecting two larger land masses and bordered by water
T,KRST,Karst Area,"A distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams and underground drainage"
T,LAVA,Lava Area,An area of solidified lava
T,LEV,Levee,A natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods
T,MESA,Mesa(s),"A flat-topped, isolated elevation with steep slopes on all sides, less extensive than a plateau"
T,MND,Mound(s),"A low, isolated, rounded hill"
T,MRN,Moraine,"A mound, ridge or other accumulation of glacial till"
T,MT,Mountain,"An elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more"
T,MTS,Mountains,A mountain range or a group of mountains or high ridges
T,NKM,Meander Neck,A narrow strip of land between the two limbs of a meander loop at its narrowest point
T,NTK,Nunatak,A rock or mountain peak protruding through glacial ice
T,NTKS,Nunataks,Rocks or mountain peaks protruding through glacial ice
T,PAN,Pan,"A near-level shallow, natural depression or basin, usually containing an intermittent lake, pond or pool"
T,PANS,Pans,"Near-level shallow, natural depressions or basins, usually containing intermittent lakes, ponds or pools"
T,PASS,Pass,"A break in a mountain range or other high obstruction, used for transportation from one side to the other [see also gap]"
T,PEN,Peninsula,An elongate area of land projecting into a body of water and nearly surrounded by water
T,PENX,Section of Peninsula,
T,PK,Peak,"A pointed elevation atop a mountain, ridge or other hypsographic feature"
T,PKS,Peaks,"Pointed elevations atop a mountain, ridge or other hypsographic features"
T,PLAT,Plateau,"An elevated plain with steep slopes on one or more sides, and often with incised streams"
T,PLATX,Section of Plateau,
T,PLDR,Polder,An area reclaimed from the sea by diking and draining
T,PLN,Plain(s),"An extensive area of comparatively level to gently undulating land, lacking surface irregularities, and usually adjacent to a higher area"
T,PLNX,Section of Plain,
T,PROM,Promontory(-Ies),A bluff or prominent hill overlooking or projecting into a lowland
T,PT,Point,"A tapering piece of land projecting into a body of water, less prominent than a cape"
T,PTS,Points,"Tapering pieces of land projecting into a body of water, less prominent than a cape"
T,RDGB,Beach Ridge,"A ridge of sand just inland and parallel to the beach, usually in series"
T,RDGE,Ridge(s),"A long narrow elevation with steep sides, and a more or less continuous crest"
T,REG,Stony Desert,A desert plain characterized by a surface veneer of gravel and stones
T,RK,Rock,"A conspicuous, isolated rocky mass"
T,RKFL,Rockfall,An irregular mass of fallen rock at the base of a cliff or steep slope
T,RKS,Rocks,"Conspicuous, isolated rocky masses"
T,SAND,Sand Area,A tract of land covered with sand
T,SBED,Dry Stream Bed,A channel formerly containing the water of a stream
T,SCRP,Escarpment,A long line of cliffs or steep slopes separating level surfaces above and below
T,SDL,Saddle,"A broad, open pass crossing a ridge or between hills or mountains"
T,SHOR,Shore,"A narrow zone bordering a waterbody which is covered and uncovered at high and low water, respectively"
T,SINK,Sinkhole,"A small, usually circular, depression in a karst area, that tends to appear suddenly and without warning"
T,SLID,Slide,A mound of earth material at the base of a slope and the associated scoured area
T,SLP,Slope(s),A surface with a relatively uniform slope angle
T,SPIT,Spit,"A narrow, straight or curved continuation of a beach into a waterbody"
T,SPUR,Spur(s),"A subordinate ridge projecting outward from a hill, mountain or other elevation"
T,TAL,Talus Slope,A steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope
T,TRGD,Interdune Trough(s),A long wind-swept trough between parallel longitudinal dunes
T,TRR,Terrace,"A long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody"
T,UPLD,Upland,An extensive interior region of high land with low to moderate surface relief
T,VAL,Valley,An elongated depression usually traversed by a stream
T,VALG,Hanging Valley,A valley the floor of which is notably higher than the valley or shore to which it leads; most common in areas that have been glaciated
T,VALS,Valleys,Elongated depressions usually traversed by a stream
T,VALX,Section of Valley,
T,VLC,Volcano,A conical elevation composed of volcanic materials with a crater at the top
U,APNU,Apron,"A gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts"
U,ARCU,Arch,A low bulge around the south-eastern end of the island of Hawaii
U,ARRU,Arrugado,An area of subdued corrugations off Baja California
U,BDLU,Borderland,"A region adjacent to a continent, normally occupied by or bordering a shelf, that is highly irregular with depths well in excess of those typical of a shelf"
U,BKSU,Banks,"Elevations, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation"
U,BNKU,Bank,"An elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation"
U,BSNU,Basin,A depression more or less equidimensional in plan and of variable extent
U,CDAU,Cordillera,"An entire mountain system including the subordinate ranges, interior plateaus and basins"
U,CNSU,Canyons,"Relatively narrow, deep depressions with steep sides, the bottom of which generally has a continuous slope"
U,CNYU,Canyon,"A relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope"
U,CRSU,Continental Rise,A gentle slope rising from oceanic depths towards the foot of a continental slope
U,DEPU,Deep,"A localized deep area within the confines of a larger feature, such as a trough, basin or trench"
U,EDGU,Shelf Edge,A line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf
U,ESCU,Escarpment (Or Scarp),An elongated and comparatively steep slope separating flat or gently sloping areas
U,FANU,Fan,A relatively smooth feature normally sloping away from the lower termination of a canyon or canyon system
U,FLTU,Flat,A small level or nearly level area
U,FRZU,Fracture Zone,"An extensive linear zone of irregular topography of the sea floor, characterized by steep-sided or asymmetrical ridges, troughs or escarpments"
U,FURU,Furrow,"A closed, linear, narrow, shallow depression"
U,GAPU,Gap,A narrow break in a ridge or rise
U,GLYU,Gully,A small valley-like feature
U,HLLU,Hill,An elevation rising generally less than 500 meters
U,HLSU,Hills,Elevations rising generally less than 500 meters
U,HOLU,Hole,A small depression of the sea floor
U,KNLU,Knoll,"An elevation rising generally more than 500 meters and less than 1000 meters and of limited extent across the summit"
U,KNSU,Knolls,"Elevations rising generally more than 500 meters and less than 1000 meters and of limited extent across the summits"
U,LDGU,Ledge,"A rocky projection or outcrop, commonly linear and near shore"
U,LEVU,Levee,"An embankment bordering a canyon, valley or seachannel"
U,MESU,Mesa,"An isolated, extensive, flat-topped elevation on the shelf, with relatively steep sides"
U,MNDU,Mound,"A low, isolated, rounded hill"
U,MOTU,Moat,"An annular depression that may not be continuous, located at the base of many seamounts, islands and other isolated elevations"
U,MTU,Mountain,A well-delineated subdivision of a large and complex positive feature
U,PKSU,Peaks,"Prominent elevations, part of a larger feature, either pointed or of very limited extent across the summit"
U,PKU,Peak,"A prominent elevation, part of a larger feature, either pointed or of very limited extent across the summit"
U,PLNU,Plain,"A flat, gently sloping or nearly level region"
U,PLTU,Plateau,"A comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides"
U,PNLU,Pinnacle,"A high tower or spire-shaped pillar of rock or coral, alone or cresting a summit"
U,PRVU,Province,A region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas
U,RDGU,Ridge,A long narrow elevation with steep sides
U,RDSU,Ridges,Long narrow elevations with steep sides
U,RFSU,Reefs,Surface-navigation hazards composed of consolidated material
U,RFU,Reef,A surface-navigation hazard composed of consolidated material
U,RISU,Rise,"A broad elevation that rises gently and generally smoothly, from the sea floor"
U,SCNU,Seachannel,"A continuously sloping, elongated depression commonly found in fans or plains and customarily bordered by levees on one or two sides"
U,SCSU,Seachannels,"Continuously sloping, elongated depressions commonly found in fans or plains and customarily bordered by levees on one or two sides"
U,SDLU,Saddle,"A low part, resembling in shape a saddle, in a ridge or between contiguous seamounts"
U,SHFU,Shelf,A zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths
U,SHLU,Shoal,A surface-navigation hazard composed of unconsolidated material
U,SHSU,Shoals,Hazards to surface navigation composed of unconsolidated material
U,SHVU,Shelf Valley,"A valley on the shelf, generally the shoreward extension of a canyon"
U,SILU,Sill,The low part of a gap or saddle separating basins
U,SLPU,Slope,The slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope
U,SMSU,Seamounts,Elevations rising generally more than 1000 meters and of limited extent across the summit
U,SMU,Seamount,An elevation rising generally more than 1000 meters and of limited extent across the summit
U,SPRU,Spur,"A subordinate elevation, ridge or rise projecting outward from a larger feature"
U,TERU,Terrace,"A relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side"
U,TMSU,Tablemounts (Or Guyots),"Seamounts having a comparatively smooth, flat top"
U,TMTU,Tablemount (Or Guyot),"A seamount having a comparatively smooth, flat top"
U,TNGU,Tongue,An elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature
U,TRGU,Trough,"A long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench"
U,TRNU,Trench,"A long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides"
U,VALU,Valley,"A relatively shallow, wide depression, the bottom of which usually has a continuous gradient"
U,VLSU,Valleys,"Relatively shallow, wide depressions, the bottoms of which usually have a continuous gradient"
V,BUSH,Bush(es),A small clump of conspicuous bushes in an otherwise bare area
V,CULT,Cultivated Area,An area under cultivation
V,FRST,Forest(s),An area dominated by tree vegetation
V,FRSTF,Fossilized Forest,A forest fossilized by geologic processes and now exposed at the earth's surface
V,GRSLD,Grassland,An area dominated by grass vegetation
V,GRVC,Coconut Grove,A planting of coconut trees
V,GRVO,Olive Grove,A planting of olive trees
V,GRVP,Palm Grove,A planting of palm trees
V,GRVPN,Pine Grove,A planting of pine trees
V,HTH,Heath,An upland moor or sandy area dominated by low shrubby vegetation including heather
V,MDW,Meadow,"A small, poorly drained area dominated by grassy vegetation"
V,OCH,Orchard(s),A planting of fruit or nut trees
V,SCRB,Scrubland,"An area of low trees, bushes and shrubs stunted by some environmental limitation"
V,TREE,Tree(s),A conspicuous tree used as a landmark
V,TUND,Tundra,"A marshy, treeless, high latitude plain, dominated by mosses, lichens and low shrub vegetation under permafrost conditions"
V,VIN,Vineyard,A planting of grapevines
V,VINS,Vineyards,Plantings of grapevines
V,ll,Not Available,
